#=================================================================
# General info
# Report suite: Scotiabank Prod
"# Date: Dec 19, 2021 - Dec 25, 2021"
#=================================================================


##############################################
# iTrade
##############################################
Official Project Launch day:  Friday 6th August 2021
URL: https://www.scotiaitrade.com/en/home.html
Jira ticket : https://jira.agile.bns/browse/AADF-3107


##############################################
# How to use this Dashboard ?
##############################################
1 This dashboard is divided into multiple panels. All the panels are collapsed to increase the performance when dashboard loads.
"2 To Expand each panel, please look for an ""Left"" arrow next to ""X"" button and click on it."

"Please feel free to make changes to the dashboard, you can save your changes as your own copy. This dashboard will not be affected."
	To save your own copy follow these steps
Click on Project on the top
Click on Save as
Give appropriate name and save.
It will be saved in Workspace section under you profile. you can share your save dashboard too. Just click on share button above.


##############################################
# Read Me to understand more about the Metrics used for analytics
##############################################
Page Views:  Number of time page was loaded.
"Visits: A visit is defined as a sequence of consecutive page views without a 30-minute break, or continuous activity for 12 hours."
"Unique visitor: A unique visitor refers to a visitor who visits a site for the first time within a 2 years period. If visitor clears browser cookies or does not allow cookies, unique visitor count will be incremented every time when page is visited."
"Occurrences: The number of times a specific value is captured, plus the number of page views for which the given value persisted. In other words, Occurrences are sum of page views and page events. Occurrences are available in Analysis Workspace and in Ad Hoc Analysis."
"Bounces: If a visit consists of exactly one hit (ex: coming to web page and leaving without any further action) , the hit is considered a bounce."
Entries: the number of times a given dimension item is captured as the first value in a visit. This metric is helpful when you want to understand more about the first impressions visitors have on your site. Seeing the first values of a dimension can help you understand and optimize the experience a new visitor gets
Bounce Rate (Bounces/Entries): the ratio of visits that contained exactly one hit compared to the number of visits on that page. This metric is calculated using the formula Bounces divided by Entries.
Exits: The 'Exits' metric shows the number of times a given dimension item is captured as the last value in a visit.
Exit Rate: The percentage of traffic to a page for whom that was the last page or piece of content. This metric is calculate using formula Exits divided by Visits


#=================================================================
# iTrade Dashboard - EN
# Report suite: Scotiabank Global
"# Date: Dec 19, 2021 - Dec 25, 2021"
"# Segments: iTrade Hits, en"
# URL: https://www.scotiaitrade.com/en/home.html
# Jira ticket : https://jira.agile.bns/browse/AADF-3107
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,56417,40116,24550,146.4641023584149
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,21785,18975,9355,76.46756739030629
SB:en:itrade:Winter Offer | Scotia iTRADE®,9212,8315,6136,80.11348205625606
SB:en:itrade:Market holiday schedule 2021 | Scotia iTRADE®,2703,2492,2302,200.47838616714697
SB:en:itrade:2021 holiday schedule for investor information centre | Scotia iTRADE®,2560,2259,2074,165.91132075471697
SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,2381,1936,1559,98.87967581047381
SB:en:itrade:Scotia iTRADE® forms library - find all forms here,2103,1717,1114,300.4332179930796
SB:en:itrade:Winter Offer - Triage,1155,922,790,88.56264775413712
SB:en:itrade:Winter Offer for Existing Clients | Scotia iTRADE®,1103,933,741,297.23514851485146
SB:en:itrade:Competitive pricing | Scotia iTRADE,1008,907,771,253.520697167756
SB:en:itrade:Contact us - customer support | Scotia iTRADE®,787,719,613,338.3296703296703


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Display,271,269,0.5830258302583026
Social Networks,29,31,0.6206896551724138
Paid Social Networks,8,5,0.125


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,14790
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:How to use Scotia iTRADE? | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,

Previous
Focus,Backstep 1,Path views
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,,14790
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Scotia iTRADE® forms library - find all forms here,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Open a trading/investment account online | Scotia iTRADE®,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Competitive pricing | Scotia iTRADE,
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,SB:en:itrade:Winter Offer - Triage,


#=================================================================
# iTrade Dashboard - FR
# Report suite: Scotiabank Global
"# Date: Dec 19, 2021 - Dec 25, 2021"
"# Segments: iTrade Hits, fr"
#=================================================================


##############################################
# Pages Visited
##############################################
,Page Views,Visits,Unique Visitors,Time Spent per Visit (seconds)
Page,3484,2648,2192,210.3811320754717
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,1478,1349,1212,212.32903225806453
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,541,456,244,107.36317135549872
SB:fr:itrade:Calendrier des congés fériés 2021 – Centre d'information pour les investisseurs |,267,245,227,94.9076923076923
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,163,138,127,148.22222222222223
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,104,71,62,97.9047619047619
SB:fr:itrade:404 | Scotia iTRADE,88,81,78,23.24137931034483
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,71,66,63,297.4
SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,50,40,37,384.14285714285717
SB:fr:itrade:Comprendre le risque de placement | Publication,44,38,30,408.42857142857144
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE,42,39,21,236.26666666666668


##############################################
# URLs Visited
##############################################
,Page Views,Visits,Unique Visitors
Page URL (c19),5389,3158,2511
(Low Traffic),2743,1906,1648
https://www.scotiaitrade.com/fr/accueil.html,693,622,380
https://www.scotiaitrade.com/fr/accueil/ouvrez-un-compte-de-negociation.html,150,117,107
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver-ce.html,110,95,81
https://www.scotiaitrade.com/fr/accueil/offre-d-hiver.html?cid=S1eWINT1121-002,139,94,84
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/faq/calendrier-des-conges-sur-les-marc,80,72,63
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/publication.actions.quand-et-comment-l,61,61,55
https://www.scotiaitrade.com/fr/accueil/centre-dapprentissage/faq/calendrier-des-conges-feries.html,64,60,56
https://www.scotiaitrade.com/fr/accueil/ou-commencer.html,59,57,50
https://www.scotiaitrade.com/fr/accueil/frais-et-tarification.html,60,55,54


##############################################
# Key CTAs Clicked
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),1035,651,446
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,525,455,276
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:start-applicatio,53,41,40
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page middle CTA:,32,28,27
SB:fr:itrade:Investir dans les FNB à faible coût – Ouvrez un compte dès aujourd’hui | Scotia,85,15,15
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,14,14,8
Internal Search,18,13,12
SB:fr:itrade:Types de comptes de placement enregistrés | Scotia iTRADE:page top CTA:Renseignez-vous,9,9,9
SB:fr:itrade:Offres et programmes spéciaux | Scotia iTRADE:PageMiddleCTA:Offre d'hiver details,9,9,9
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:page top CTA:Ouvrez un,15,8,8
D=v65,8,8,8
SB:fr:itrade:Ouvrez un compte enregistré aujourd’hui | Scotia iTRADE:page top CTA:Lancer la deman,7,7,7
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE:page top CTA:Le iClub de Scoti,7,7,6
SB:fr:itrade:Liste de vérification pour l'ouverture d'un compte | Scotia iTRADE:page middle CTA:Ouv,7,6,6
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:nav-btn:Comptes,7,6,6
SB:fr:itrade:Contactez-nous – Soutien à la clientèle | Scotia iTRADE:page top CTA:Demarrez,6,5,5
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE:page top CTA:Lancer la demande,6,5,5
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE:page top CTA:Demarrez,6,5,4
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:nav-btn:Àp,5,5,5
SB:fr:itrade:Tarification et frais concurrentiels. Pas de frais cachés. | Scotia iTRADE:nav-btn:Pla,6,4,4
SB:fr:itrade:Acheter des titres en bourse – Ouvrez un compte aujourd’hui | Scotia iTRADE:nav-btn,4,4,4
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits:page middle CTA:Vidéos de formation,4,4,4
SB:fr:itrade:Offre d’hiver | Scotia iTRADE:page top CTA:Lancer la demande,4,4,2
SB:fr:itrade:Types de comptes de placement et de négociation | Scotia iTRADE:page top CTA:Demarrez,4,3,3
SB:fr:itrade:Ouvrez un compte fictif de négociation en ligne | Scotia iTRADE:nav-btn:Tarification,4,3,3
SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE:page top CTA:Dem,4,3,3


##############################################
# Device Breakdown (Other = Desktop*)
##############################################
,Visits
Mobile Device Type,3158
Mobile Phone,1766
Other,1308
Tablet,84


##############################################
# Entries and Bounce Rate
##############################################
,Entries,Bounce Rate
Page,3143,0.5482023544384346
SB:fr:itrade:404 | Scotia iTRADE,1275,0.6015686274509804
SB:fr:itrade:Offre d’hiver | Scotia iTRADE,395,0.9037974683544304
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,382,0.14397905759162305
SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE,96,0.7395833333333334
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®,77,0
SB:fr:itrade:Calendrier des congés sur les marchés 2021 | Scotia iTRADE,71,0.9154929577464789
phoenix:Login,58,0
SB:fr:itrade:Comment et quand les actions rapportent-elles des dividendes? | Publication,56,0.9285714285714286
SB:fr:itrade:Calendrier des congés fériés 2021 – Centre d'information pour les investisseurs |,54,0.9074074074074074
SB:fr:itrade:Scotia iTRADE U – Ressources et outils gratuits,27,0.2962962962962963


##############################################
# Marketing Channel Breakdown
##############################################
,Entries,Visits,Bounce Rate
Marketing Channel,3158,3158,0.5481317289423686
email,1564,1570,0.6425831202046036
Natural Search,569,518,0.5834797891036907
Referring Domains,504,984,0.2777777777777778
Direct,314,291,0.3885350318471338
Other Campaigns,140,148,0.75
Session Refresh,50,43,0.3
Social Networks,12,13,1
Paid Search,3,3,0
Display,2,2,0


##############################################
# Page Flow from Home Page
##############################################
Next
Focus,Step 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,537
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Offre d'hiver - Triage,65
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Investissez avec Scotia iTRADE,29
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,25
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Formulaires Scotia iTRADE – Trouvez tous les formulaires ici,14
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:404 | Scotia iTRADE,7
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,Exits,338
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,+22 more,59

Previous
Focus,Backstep 1,Path views
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,,537
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:404 | Scotia iTRADE,102
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Offre d’hiver pour les clients actuels | Scotia iTRADE,7
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Ouvrez un compte de négociation/de placement en ligne | Scotia iTRADE,7
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Investissez avec Scotia iTRADE,5
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,SB:fr:itrade:Offre d’hiver | Scotia iTRADE,3
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,Entries,384
SB:fr:itrade:Commencez à investir et à gérer vos placements en ligne dès aujourd’hui | Scotia,+18 more,29


#=================================================================
# CTAs Clicked - EN
# Report suite: Scotiabank Global
"# Date: Dec 19, 2021 - Dec 25, 2021"
# Segments: iTrade Hits
#=================================================================


##############################################
# Start direct investing -  CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),21535,17794,8324
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Sign in,18769,16007,6931
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Accounts,880,759,608
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Open an ac,715,662,609
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn how,206,201,195
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:About,221,195,179
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Investments,222,191,184
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Education,128,116,112
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:nav-btn:Pricing,119,113,110
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:footer:footer-link-cont,116,113,111
SB:en:itrade:Start direct investing & online trading today | Scotia iTRADE®:page top CTA:Learn more,60,58,58


##############################################
# Getting started - CTAs
##############################################
,,Occurrences,Visits,Unique Visitors
Custom Link (c65),,26,25,25
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,,10,10,10
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,Custom Link (v65),10,10,10
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Open an Account,10,10,10
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,,5,5,5
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,Custom Link (v65),5,5,5
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page top CTA:Sign in,5,5,5
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Op,,3,3,3
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,,2,2,2
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,Custom Link (v65),2,2,2
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Le,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Learn more about account openings,2,2,2
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Ge,,2,2,2
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Op,,1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Op,Custom Link (v65),1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Op,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Open an account,1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:nav-btn:Education,,1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Wa,,1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Wa,Custom Link (v65),1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Wa,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page bottom CTA:Watch now,1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Re,,1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Re,Custom Link (v65),1,1,1
SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Re,SB:en:itrade:Get started with direct investing & online trading | Scotia iTRADE®:page middle CTA:Read more about transfers,1,1,1


##############################################
# Growing and Investing - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),28,4,4
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:nav-btn:Accounts,9,2,2
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:nav-btn:About,7,2,2
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:nav-btn:Investments,4,2,2
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:page top CTA:Open an Acco,2,2,2
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:footer:footer-link-open-a,2,1,1
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:nav-btn:Education,2,1,1
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:nav-btn:Pricing,1,1,1
SB:en:itrade:Grow your investments with direct investing | Scotia iTRADE®:footer:footer-youtube,1,1,1


##############################################
# Planning for Retirement - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),0,0,0


##############################################
# In Retirement- CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),0,0,0


##############################################
# Bonds - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),31,17,17
SB:en:itrade:Invest in bonds for fixed income or diversify your portfolio | Scotia iTRADE®:nav-btn:,21,10,10
SB:en:itrade:Invest in bonds for fixed income or diversify your portfolio | Scotia iTRADE®:page mid,5,5,5
SB:en:itrade:Invest in bonds for fixed income or diversify your portfolio | Scotia iTRADE®:page top,5,4,4


##############################################
# Invest in low cost ETF's - CTAs
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),127,97,94
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Investments,42,39,38
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Pricing,20,19,19
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Accounts,15,14,14
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Education,14,14,14
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:page bottom CTA:Watch,10,10,10
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:page top CTA:Sign in,9,9,7
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:page bottom CTA:Open,7,7,7
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:About,6,6,6
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:Learn-More-education-,2,2,2
SB:en:itrade:Invest in low cost ETFs - open an account today | Scotia iTRADE®:nav-btn:Comptes,1,1,1


##############################################
"# Invest in GIC's - CTAs "
##############################################
,Occurrences,Visits,Unique Visitors
Custom Link (c65),18,17,17
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:page middle CTA:Lear,6,6,6
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:Investments,6,6,6
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:About,2,2,2
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:footer:footer-link-o,1,1,1
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:Accounts,1,1,1
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:page top CTA:Open an,1,1,1
SB:en:itrade:Invest in GICs - safe & secure - open an account | Scotia iTRADE®:nav-btn:Pricing,1,1,1


##############################################
# Invest in Mutual Funds- CTAs
##############################################
