Image,Object,Color,Caption
raw/iTrade/20210927073716__https____www.scotiaitrade.com__fr__accueil/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20210510021933__https____www.scotiaitrade.com__fr__investissement-direct-and-trading-en-ligne/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210927070858__https____www.scotiaitrade.com__fr__accueil__centre-dapprentissage__navigateur-de-connaissances/content__dam__itrade__images__iStock-1295768958.jpg2000.2000.png,"person 91.8%
laptop 91.8%
chair 59.0%
potted plant 38.6%
chair 27.9%","gray
darkslategray
silver
darkolivegreen
saddlebrown",a woman working on a laptop computer in a living room
raw/iTrade/20210211221440__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20211009093631__https____www.scotiaitrade.com__en__home__pricing-fees/content__dam__itrade__images__iStock-1305630217.jpg2000.2000.png,"laptop 90.3%
person 79.1%","darkslategray
lightgray
darkgray
darkseagreen",a woman sitting on a couch using a laptop computer
raw/iTrade/20200927142811__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20200927142811__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20200927142811__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20200927142811__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20210920042415__https____www.scotiaitrade.com__en__home__pricing-fees/content__dam__itrade__images__iStock-1305630217.jpg2000.2000.png,"laptop 90.3%
person 79.1%","darkslategray
lightgray
darkgray
darkseagreen",a woman sitting on a couch using a laptop computer
raw/iTrade/20220308224221__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20220308224221__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20211009070623__https____www.scotiaitrade.com__en__home__special-offers-programs__scotia-itrade-club/content__dam__itrade__images__iStock-531868458.jpg2000.2000.png,"person 91.8%
laptop 89.1%
potted plant 61.1%
potted plant 30.9%","silver
darkslategray
dimgray
darkolivegreen",a woman sitting at a desk using a laptop computer
raw/iTrade/20220328125553__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20220328125553__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20210927074258__https____www.scotiaitrade.com__fr__accueil__offres-et-programmes-speciaux__iclub-de-scotia-itrade/content__dam__itrade__images__iStock-531868458.jpg2000.2000.png,"person 91.8%
laptop 89.1%
potted plant 61.1%
potted plant 30.9%","silver
darkslategray
dimgray
darkolivegreen",a woman sitting at a desk using a laptop computer
raw/iTrade/20210328214159__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20211009194414__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20201012004141__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20201012004141__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20201012004141__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20201012004141__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20210817210242__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20210920042044__https____www.scotiaitrade.com__fr__accueil__centre-dapprentissage__faq__calendrier-des-conges-feries/content__dam__itrade__images__iStock-1272782773.jpg2000.2000.png,"person 89.0%
chair 49.6%
potted plant 46.0%","silver
black
darkolivegreen
dimgray
gray",a woman standing in a kitchen talking on a cell phone
raw/iTrade/20211130124639__https____www.scotiaitrade.com__en__home__open-trading-account/content__dam__itrade__images__Open-scotia-itrade-account-banner-image.jpg2000.2000.jpg,"cell phone 94.2%
person 92.7%
laptop 88.0%","darkslategray
silver
sienna
lightslategray
darkgray",a woman holding a cell phone in front of a laptop computer
raw/iTrade/20220119021555__https____www.scotiaitrade.com__en__home__learning-centre__faqs__market-holiday-schedule/content__dam__itrade__images__iStock-1272782773.jpg2000.2000.png,"person 89.0%
chair 49.6%
potted plant 46.0%","silver
black
darkolivegreen
dimgray
gray",a woman standing in a kitchen talking on a cell phone
raw/iTrade/20210920052251__https____www.scotiaitrade.com__en__home__why-itrade/content__dam__itrade__images__iStock-1062783064.jpg2000.2000.png,"person 90.8%
laptop 87.6%
chair 83.3%
person 80.7%
dining table 50.3%","lightgray
darkslategray
darkolivegreen
gray
sienna",two women standing in a kitchen with a laptop computer
raw/iTrade/20220318030218__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20220318030218__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20201127012318__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__father-son-haircut.jpg2000.2000.jpg,"person 90.0%
person 89.8%
chair 58.5%
cell phone 46.3%","gainsboro
darkslategray
brown
rosybrown
goldenrod",a man cutting a childs hair with a hair dryer
raw/iTrade/20210418155843__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210119235248__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20201005180241__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20201005180241__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20201005180241__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20201005180241__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20210702214936__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20220119010433__https____www.scotiaitrade.com__fr__accueil__ouvrez-un-compte-de-negociation/content__dam__itrade__images__Open-scotia-itrade-account-banner-image.jpg2000.2000.jpg,"cell phone 94.2%
person 92.7%
laptop 88.0%","darkslategray
silver
sienna
lightslategray
darkgray",a woman holding a cell phone in front of a laptop computer
raw/iTrade/20210803125216__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210602214846__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20211130115620__https____www.scotiaitrade.com__fr__accueil__frais-et-tarification/content__dam__itrade__images__iStock-1305630217.jpg2000.2000.png,"laptop 90.3%
person 79.1%","darkslategray
lightgray
darkgray
darkseagreen",a woman sitting on a couch using a laptop computer
raw/iTrade/20210117114441__https____www.scotiaitrade.com__fr__investissement-direct-and-trading-en-ligne/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20220413202616__https____www.scotiaitrade.com__en__home__investment-types-products__commission-free-etf/content__dam__itrade__images__ScotiaiTrade-404-hero.png2000.2000.png,"kite 61.0%
kite 28.3%","lightcoral
crimson
darkolivegreen
dimgray
whitesmoke",a diagram of a bar graph with kites flying over it
raw/iTrade/20210203210549__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20220119022853__https____www.scotiaitrade.com__fr__accueil__comptes/content__dam__itrade__images__iStock-1215847733.jpg2000.2000.png,"person 93.3%
person 86.8%
cell phone 75.9%","darkslategray
silver
gray
darkgray
lightslategray",a woman standing in front of a window holding a cell phone
raw/iTrade/20220105183433__https____www.scotiaitrade.com__en__home__winter-offer/content__dam__itrade__images__Scotia-iTRADE-winter-campaign-hero.jpg2000.2000.jpg,"person 95.2%
person 94.9%
bottle 26.7%","silver
saddlebrown
gray
dimgray",two women sitting on the floor painting a wall
raw/iTrade/20211112204246__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20210927081815__https____www.scotiaitrade.com__en__home__why-itrade__powerful-platforms/content__dam__itrade__images__iStock-1192583552.jpg2000.2000.png,"person 90.2%
bottle 78.6%
bottle 61.7%
bottle 56.1%
bottle 42.5%","darkgray
darkslategray
darkolivegreen
dimgray
sienna",a man is looking out of a train window
raw/iTrade/20211214060107__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__winter-campaign-clients-hero.jpg2000.2000.jpg,"person 94.8%
person 94.7%","gray
black
darkolivegreen",two women sitting on the floor painting a radiator
raw/iTrade/20211214060107__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__Scotia-itrade-ways-to-invest-hero.jpg2000.2000.jpg,"person 94.0%
laptop 83.4%
couch 80.7%
chair 73.3%
couch 47.3%
couch 38.6%","darkslategray
silver
gray
darkgray",a man sitting on a couch using a tablet computer
raw/iTrade/20200924073206__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20200924073206__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20200924073206__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20200924073206__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20211008040847__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20210920050323__https____www.scotiaitrade.com__en__home__open-practice-trading-acccount/content__dam__itrade__images__iStock-1162938821.jpg2000.2000.png,"person 91.3%
laptop 89.8%
person 82.8%
couch 66.1%
couch 37.1%","darkgray
darkslategray
dimgray
rosybrown
lightslategray",two people sitting on a couch looking at a laptop computer
raw/iTrade/20210927061755__https____www.scotiaitrade.com__en__home__special-offers-programs__scotia-itrade-club/content__dam__itrade__images__iStock-531868458.jpg2000.2000.png,"person 91.8%
laptop 89.1%
potted plant 61.1%
potted plant 30.9%","silver
darkslategray
dimgray
darkolivegreen",a woman sitting at a desk using a laptop computer
raw/iTrade/20200917161939__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_CoupleHiking2.png1280.1280.png,"person 93.6%
person 89.3%","gray
lightgray
darkolivegreen
silver
darkgray",two people standing on the beach in the tall grass
raw/iTrade/20200917161939__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__start-direct-investing-banner.jpg1280.1280.jpeg,"laptop 94.7%
person 93.9%
person 93.0%
couch 26.3%","dimgray
silver
black",a man and woman sitting on a couch looking at a laptop computer
raw/iTrade/20200917161939__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__women_laptop_itrade.jpg1280.1280.jpeg,"laptop 95.1%
person 94.5%
cup 92.9%
cell phone 91.5%
couch 63.2%
couch 46.8%
chair 32.1%
dining table 27.1%","dimgray
silver
black
darkgray",a woman sitting at a table with a laptop computer
raw/iTrade/20200917161939__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__scotiabank__canada__common__imagery__itrade_Hero_TwoFriends.png1280.1280.png,"person 93.6%
person 93.0%
cell phone 78.0%","dimgray
lightcoral
black
darkgray
lightsteelblue",two young women sitting on a sidewalk looking at a tablet
raw/iTrade/20220119022049__https____www.scotiaitrade.com__en__home__learning-centre__the-knowledge-navigator/content__dam__itrade__images__iStock-1295768958.jpg2000.2000.png,"person 91.8%
laptop 91.8%
chair 59.0%
potted plant 38.6%
chair 27.9%","gray
darkslategray
silver
darkolivegreen
saddlebrown",a woman working on a laptop computer in a living room
raw/iTrade/20211029132251__https____www.scotiaitrade.com__en__home/content__dam__itrade__images__iStock-1136855170.jpg2000.2000.png,"laptop 86.0%
dog 85.3%
person 79.1%
couch 44.5%
couch 37.1%","darkslategray
tan
gray
darkgray
cadetblue",a woman standing in a living room with a laptop and a dog
raw/iTrade/20220119005930__https____www.scotiaitrade.com__fr__accueil__types-de-placement__certificats-de-placement-garanti-cpg/content__dam__itrade__images__iStock-994011510.jpg2000.2000.png,"laptop 89.2%
person 87.0%
dining table 49.2%
potted plant 27.4%","silver
darkslategray
darkolivegreen
dimgray",a woman working on a laptop computer on a wooden table
raw/iTrade/20210504023325__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210708024749__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210427233503__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210727200738__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
raw/iTrade/20210622081932__https____www.scotiaitrade.com__en__direct-investing-and-online-trading/content__dam__itrade__images__woman-wfh_istock-457207757.jpg2000.2000.png,"laptop 95.0%
cup 94.0%
person 90.6%
cell phone 78.6%
chair 67.3%
couch 60.1%
book 38.6%
couch 37.5%
book 30.1%
book 27.3%
chair 27.1%","silver
darkslategray
dimgray
darkgray
lightslategray",a woman sitting on a table with a laptop computer
