Date,Spend
6/11/2021,1521.93
6/12/2021,748.24
6/13/2021,1007.71
6/14/2021,1706.91
6/15/2021,1669.77
6/16/2021,1673.71
6/17/2021,1617.35
6/18/2021,1548.03
6/19/2021,983.29
6/20/2021,1131.34
6/21/2021,2624.55
6/22/2021,1831.06
6/23/2021,1712
6/24/2021,1633.08
6/25/2021,1529.15
6/26/2021,824.77
6/27/2021,969.54
6/28/2021,1942.22
6/29/2021,1806.79
6/30/2021,1418.79
7/1/2021,1221.29
7/2/2021,1263.5
7/3/2021,730.09
7/4/2021,1123.73
7/5/2021,2000.81
7/6/2021,1694.28
7/7/2021,1629.08
7/8/2021,1441.75
7/9/2021,1621.28
7/10/2021,817.11
7/11/2021,872.23
7/12/2021,2280.85
7/13/2021,1764.77
7/14/2021,1626
7/15/2021,1421.6
7/16/2021,1503.99
7/17/2021,995.14
7/18/2021,992.79
7/19/2021,2185.79
7/20/2021,1710.32
7/21/2021,1705.57
7/22/2021,1612.07
7/23/2021,1250.85
7/24/2021,741.1
7/25/2021,839.24
7/26/2021,2388.03
7/27/2021,1796.66
7/28/2021,1647.53
7/29/2021,1450.81
7/30/2021,1853.51
7/31/2021,781.98
8/1/2021,1296.54
8/2/2021,1650.79
8/3/2021,1670.58
8/4/2021,1713.01
8/5/2021,1693.69
8/6/2021,1644.91
8/7/2021,1052.09
8/8/2021,1281.9
8/9/2021,1820.59
8/10/2021,1637.04
8/11/2021,1580.74
8/12/2021,1702.95
8/13/2021,1372.3
8/14/2021,927.68
8/15/2021,1250.38
8/16/2021,1897.44
8/17/2021,1851.23
8/18/2021,1831.93
8/19/2021,1793.98
8/20/2021,1744.31
8/21/2021,1249.09
8/22/2021,1090.13
8/23/2021,1966.84
8/24/2021,1926.84
8/25/2021,1888.02
8/26/2021,2094.61
8/27/2021,1723.21
8/28/2021,1014.14
8/29/2021,1250.29
8/30/2021,4386.73
9/1/2021,731.32
9/2/2021,826.8
9/3/2021,1022.57
9/4/2021,974.9
9/5/2021,1380.13
9/6/2021,1858.78
9/7/2021,1962.02
9/8/2021,1865.07
9/9/2021,1829.18
9/10/2021,1811.34
9/11/2021,1163.87
9/12/2021,1562.77
9/13/2021,1925.44
9/14/2021,1924.64
9/15/2021,1946.51
9/16/2021,1900.96
9/17/2021,1845.92
9/18/2021,1183.61
9/19/2021,1889.9
9/20/2021,1984.61
9/21/2021,1981.35
9/22/2021,1937.02
9/23/2021,1555.66
9/24/2021,1796.93
9/25/2021,1293.23
9/26/2021,1411.07
9/27/2021,2202.54
9/28/2021,3194.13
9/29/2021,1562.73
9/30/2021,1475.02
10/1/2021,1581.23
10/2/2021,2040.44
10/3/2021,2184.92
10/4/2021,3419.14
10/5/2021,3200.68
10/6/2021,2486.51
10/7/2021,1981.97
10/8/2021,1893.24
10/9/2021,1459.8
10/10/2021,1648.62
10/11/2021,2640.64
10/12/2021,3026.06
10/13/2021,2890.05
10/14/2021,2694.06
10/15/2021,2086.55
10/16/2021,1513.41
10/17/2021,1257.87
10/18/2021,2039.27
10/19/2021,2026.47
10/20/2021,1754.49
10/21/2021,1751.31
10/22/2021,1211.59
10/23/2021,702.65
10/24/2021,1162.75
10/25/2021,2295.9
10/26/2021,2007.25
10/27/2021,1226.83
10/28/2021,443.88
10/29/2021,360.74
10/30/2021,37.4
11/1/2021,49.1
11/2/2021,674.8
11/3/2021,1662.73
11/4/2021,2054.92
11/5/2021,2859.22
11/6/2021,1647.82
11/7/2021,1462.59
11/8/2021,2736.88
11/9/2021,2419.61
11/10/2021,1791.34
11/11/2021,1582.53
11/12/2021,1563.8
11/13/2021,1320.59
11/14/2021,1357.17
11/15/2021,2493.28
11/16/2021,2314.5
11/17/2021,1607.8
11/18/2021,1060.73
11/19/2021,1115.83
11/20/2021,879.61
11/21/2021,929.27
11/22/2021,2335.67
11/23/2021,1425.95
11/24/2021,1100.95
11/25/2021,708.79
11/26/2021,570.84
11/27/2021,432.48
11/28/2021,491.31
11/29/2021,704.48
11/30/2021,646.5
12/1/2021,758.22
12/2/2021,820.6
12/3/2021,836.7
12/4/2021,517.89
12/5/2021,461.79
12/6/2021,1198.57
12/7/2021,955.92
12/8/2021,856.42
12/9/2021,811.22
12/10/2021,823.67
12/11/2021,483.52
12/12/2021,482.36
12/13/2021,926.31
12/14/2021,826.86
12/15/2021,951.72
12/16/2021,1226.59
12/17/2021,1899.78
12/18/2021,1232.79
12/19/2021,1734.72
12/20/2021,3563.36
12/21/2021,3114.77
12/22/2021,2505.3
12/23/2021,2351.61
12/24/2021,1383.12
12/25/2021,918.91
12/26/2021,1426.03
12/27/2021,2891.3
12/28/2021,2846.1
12/29/2021,1224.17
12/30/2021,1017.72
12/31/2021,0.73
1/1/2022,237.05
1/2/2022,386.88
1/3/2022,1442.97
1/4/2022,3218.17
1/5/2022,3833.73
1/6/2022,3755.33
1/7/2022,3644.74
1/8/2022,3411.6
1/9/2022,2745.62
1/10/2022,5013.72
1/11/2022,1819.69
1/12/2022,1702.9
1/13/2022,1599.86
1/14/2022,1547.51
1/15/2022,1505.27
1/16/2022,1540.67
1/17/2022,1641.07
1/18/2022,1626
1/19/2022,1584.48
1/20/2022,1339.5
1/21/2022,1330.03
1/22/2022,823.64
1/23/2022,891.62
1/24/2022,2016.59
1/25/2022,1838.83
1/26/2022,1816.56
1/27/2022,1753.34
1/28/2022,1669.25
1/29/2022,1198.45
1/30/2022,1600.35
1/31/2022,1464.58
2/1/2022,1662.63
2/2/2022,1950.67
2/3/2022,2251.45
2/4/2022,2190.79
2/5/2022,1687.23
2/6/2022,2230.57
2/7/2022,2312.39
2/8/2022,2330.38
2/9/2022,2236.3
2/10/2022,1909.41
2/11/2022,1843.32
2/12/2022,1215.11
2/13/2022,2299.41
2/14/2022,2294.52
2/15/2022,2390.43
2/16/2022,1708.15
2/17/2022,2309.12
2/18/2022,2379.94
2/19/2022,1854.55
2/20/2022,2386
2/21/2022,2535.22
2/22/2022,2538.56
2/23/2022,2277.26
2/24/2022,2370.58
2/25/2022,2197.71
2/26/2022,1462.21
2/27/2022,1625.63
2/28/2022,3550.46
3/1/2022,2037.19
3/2/2022,2014.07
3/3/2022,1884.81
3/4/2022,1631.79
3/5/2022,1185.2
3/6/2022,1029.01
3/7/2022,2092.84
3/8/2022,1636.45
3/9/2022,1732.93
3/10/2022,1513.82
3/11/2022,2063.22
3/12/2022,1755.59
3/13/2022,2126.48
3/14/2022,2252.45
3/15/2022,2231.07
3/16/2022,2113.6
3/17/2022,2142.89
3/18/2022,2053.2
3/19/2022,1886.4
3/20/2022,1788.66
3/21/2022,2589.08
3/22/2022,2281.06
3/23/2022,2009.04
3/24/2022,2052.9
3/25/2022,1549.18
3/26/2022,1072.4
3/27/2022,2304.74
3/28/2022,3155.44
3/29/2022,2501.26
3/30/2022,2234.7
3/31/2022,1452.15
4/1/2022,2162.27
4/2/2022,1240.69
4/3/2022,2026.04
4/4/2022,2991.53
4/5/2022,2486.8
4/6/2022,2262.09
4/7/2022,2119.89
4/8/2022,2055.61
4/9/2022,1493.73
4/10/2022,1787.01
4/11/2022,2999.76
4/12/2022,2588.27
4/13/2022,2546.86
4/14/2022,2428.5
4/15/2022,2214.36
4/16/2022,1797.81
4/17/2022,1451.38
4/18/2022,2347.94
4/19/2022,2430.86
4/20/2022,2309.69
4/21/2022,2232.95
4/22/2022,2101.29
4/23/2022,1924.66
4/25/2022,2027.05
4/27/2022,59.83
4/28/2022,35.51
4/29/2022,29.22
4/30/2022,25.27
